# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.279999999884356612e+02 4.285940093972074877e-11 1.545747121175130434e-05 7.817199835659809082e-03 6.954475243886311386e-02 2.980727482810468544e-03 9.999999998089901254e-01 1.343863959590804227e-14
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.283230766385109973e+02 6.506107268814250396e-07 5.094782511393228935e-02 8.023716080869132752e-03 8.177193005879719589e-02 3.932748419168142703e-03 9.948450222035093438e-01 3.228925877994646716e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.293326314747049537e+02 4.034716686674507009e-03 1.088256438573201451e-01 8.755611832989352791e-03 1.190980672836303711e-01 6.414282963253488574e-03 9.769508627291723091e-01 1.441407815217989920e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.312105891365582124e+02 8.646412517156093144e-03 1.927296320597330637e-01 1.120053745146126246e-02 1.946849822998046875e-01 1.044300619226608620e-02 9.313944773705158386e-01 4.349101493924072831e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -1.314650093104939685e+02 1.277084069967845958e-02 2.052765687306721820e-01 1.180307820079759713e-02 2.068408330281575336e-01 1.115841766285383292e-02 9.229502433011270712e-01 4.927223503054622804e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -1.320389913776356821e+02 4.296229001940241737e-02 2.428584098815917969e-01 1.439919014205770509e-02 2.437055905659993305e-01 1.398698251915043642e-02 8.954541843901165921e-01 7.015984671948278552e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.328061631759811405e+02 1.694980226107343779e-01 3.367124001185098914e-01 2.228939773828939042e-02 3.369848330815632953e-01 2.210586040484782688e-02 8.208815025825616507e-01 1.221505274064406746e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.358344295606492835e+02 3.154284346621634150e-01 5.473353862762451172e-01 2.181499862530245082e-02 5.473430156707763672e-01 2.180664689188915872e-02 6.637016821554505563e-01 1.031204103547452879e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.443547074101560099e+02 4.544639244856620020e-02 7.289810578028360633e-01 1.414281120317500452e-02 7.289810578028360633e-01 1.414281120317500452e-02 5.632147361191640611e-01 5.920283326854285100e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.542012086219947946e+02 1.426906094902456523e+01 7.988237539927164343e-01 1.106162025855736766e-02 7.988237539927164343e-01 1.106162025855736766e-02 5.357182525062766931e-01 6.548733067555352963e-03
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -1.141790149242804375e+02 2.427737527703821740e+01 6.162281831105549390e-01 7.459685064222613959e-03 6.162281831105549390e-01 7.459685064222613959e-03 6.376147088771427773e-02 1.004255751879589049e-02
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -1.290039036936321963e+02 2.137156103375961038e+02 7.134453256924946363e-01 4.883376602681800335e-03 7.134453256924946363e-01 4.883376602681800335e-03 6.562483909889010869e-02 1.306436668310729556e-02
