# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -1.651542236343297532e+02 5.632260080618224814e-03 8.678969542185465125e-01 7.582209593231759200e-03 8.678969542185465125e-01 7.582209593231759200e-03 5.159639639153416057e-01 3.991158179418478197e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.543350465927578625e+02 1.845695094467807856e-02 8.005501826604206617e-01 1.068681323651156367e-02 8.005501826604206617e-01 1.068681323651156367e-02 5.352953529234270036e-01 6.300968035054679318e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.443583893752915515e+02 3.804597444275732709e-02 7.164925336837768555e-01 1.439002284729913941e-02 7.164925336837768555e-01 1.439002284729913941e-02 5.688445715791684565e-01 6.862822281632223811e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.359414673432115137e+02 1.091020773518899811e-01 5.590674479802448804e-01 1.980242946183194408e-02 5.590691963831583289e-01 1.980047450846534815e-02 6.547997974093396900e-01 8.724816391105241764e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.328819040584797904e+02 1.286120588094606110e-01 3.673252264658609656e-01 2.255652313987689672e-02 3.675037225087483539e-01 2.242535908028583935e-02 7.954476723393103521e-01 1.213346211812022131e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -1.320814155751429837e+02 6.115562617047889948e-02 2.649182478586832312e-01 1.718733180389461768e-02 2.656152248382568359e-01 1.681756218653163160e-02 8.777679591921941915e-01 8.718237290767781589e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -1.314791216668899096e+02 2.355246327699864889e-02 2.118846972783406390e-01 1.277656231456900451e-02 2.133558193842569894e-01 1.215098159017537205e-02 9.178985123012742831e-01 5.489558873451910910e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.312181633849177160e+02 1.470375674200977839e-02 1.962495644887288226e-01 1.170270625333892298e-02 1.981183687845865793e-01 1.096570976548921078e-02 9.288363719764989312e-01 4.624177832266177998e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.293336096314062047e+02 9.342989731145894428e-05 1.089499791463216100e-01 8.785427271403831867e-03 1.192370255788167271e-01 6.438056958504350703e-03 9.769095021313074501e-01 1.443417605174936212e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.283230765743327595e+02 2.750996453677463464e-07 5.089517434438069199e-02 8.018350598867917539e-03 8.166937033335366913e-02 3.938783319766357011e-03 9.948565598497713935e-01 3.226258739831352074e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.279999998881640835e+02 6.882539929751761024e-09 -3.623962402343750000e-05 7.833094574986413164e-03 6.965422630310058594e-02 2.981384646413213439e-03 9.999999989472918571e-01 3.052074566436435554e-12
