# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.279984208010671267e+02 6.314659751783010221e-03 -2.683997154235839844e-04 7.794029684131231761e-03 6.943976879119873047e-02 2.972220232763334025e-03 9.999527351119206209e-01 5.755225810973970787e-06
1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.286437600981110450e+02 1.319103734751554680e-02 5.095595121383666992e-02 8.019736715450420661e-03 8.176630735397338867e-02 3.930516661252880795e-03 9.895654396798594377e-01 6.502624576392580617e-04
2.000000000000000111e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.306323418720118070e+02 1.703042398261443435e-01 1.075424551963806152e-01 8.697031194568438650e-03 1.181852221488952637e-01 6.294664129850247036e-03 9.536561523468942703e-01 2.891532797394903622e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.340088381911292004e+02 8.723514431975398775e-01 1.771866679191589355e-01 1.029341355492974230e-02 1.798007488250732422e-01 9.360219565166971734e-03 8.180014018778754004e-01 1.142210996985546650e-02
3.099999999999999978e-01 0.000000000000000000e+00 3.099999999999999978e-01 -1.344781451398603735e+02 8.757372865146380025e-01 1.853418648242950439e-01 1.048697298068557160e-02 1.875569522380828857e-01 9.660969504394323337e-03 7.891806134914529647e-01 1.245815470388231955e-02
3.200000000000000067e-01 0.000000000000000000e+00 3.200000000000000067e-01 -1.349860242753883313e+02 8.275519436893337133e-01 1.906127035617828369e-01 1.053737206165461515e-02 1.925496757030487061e-01 9.795197207437489340e-03 7.560945380430668106e-01 1.292611203736093381e-02
3.300000000000000155e-01 0.000000000000000000e+00 3.300000000000000155e-01 -1.355907379640197519e+02 7.964546379194785697e-01 1.989309787750244141e-01 1.078740701171909677e-02 2.005834579467773438e-01 1.012721772622171557e-02 7.290117021935087482e-01 1.329255116239248455e-02
3.400000000000000244e-01 0.000000000000000000e+00 3.400000000000000244e-01 -1.362477188279822826e+02 7.121809747665038826e-01 2.069965302944183350e-01 1.100971871581801764e-02 2.083753049373626709e-01 1.043701456200718525e-02 6.992809756019351397e-01 1.355750373727832025e-02
3.499999999999999778e-01 0.000000000000000000e+00 3.499999999999999778e-01 -1.369638461305947601e+02 6.469422814130738608e-01 2.136822938919067383e-01 1.123694381065831749e-02 2.148976325988769531e-01 1.071607403696361871e-02 6.712564196607084810e-01 1.359671581773820234e-02
3.900000000000000133e-01 0.000000000000000000e+00 3.900000000000000133e-01 -1.403460196858742961e+02 5.886231965489100437e-01 2.440142035484313965e-01 1.204464406617589134e-02 2.446376085281372070e-01 1.174001609318509054e-02 5.797575378976298488e-01 1.330820175423883152e-02
4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000222e-01 -1.413074923118482218e+02 5.518266520405221698e-01 2.521949410438537598e-01 1.228022385663152249e-02 2.527158856391906738e-01 1.201719329034389716e-02 5.600636910146090663e-01 1.334179885133953553e-02
4.199999999999999845e-01 0.000000000000000000e+00 4.199999999999999845e-01 -1.433318301917526867e+02 5.369552901866144756e-01 2.696354687213897705e-01 1.276936343638990223e-02 2.699811160564422607e-01 1.258284640191131842e-02 5.229327631520832576e-01 1.333729516636901306e-02
5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 -1.526050073632970339e+02 7.187180824086720765e-01 3.388931453227996826e-01 1.474108171090815489e-02 3.389612734317779541e-01 1.469490077119584015e-02 4.117946207277131121e-01 1.321523917517338984e-02
5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 -1.660929744545568951e+02 1.135677417699816338e+00 4.342429339885711670e-01 1.659587280117502672e-02 4.342490136623382568e-01 1.659059265346396472e-02 3.141811790135125015e-01 1.288685858519426734e-02
6.999999999999999556e-01 0.000000000000000000e+00 6.999999999999999556e-01 -1.809225662689871115e+02 1.523505875843545576e+00 5.233765542507171631e-01 1.661881060498782148e-02 5.233770310878753662e-01 1.661831147398284969e-02 2.482620761877913362e-01 1.184071850238937323e-02
8.000000000000000444e-01 0.000000000000000000e+00 8.000000000000000444e-01 -1.965358759507347486e+02 1.736700093648204213e+00 5.781000256538391113e-01 1.494246938292675964e-02 5.781000852584838867e-01 1.494240046802985944e-02 2.082317220168860838e-01 1.094738078688406620e-02
