# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.279997509114827778e+02 9.954405287764716073e-04 -3.643830617268879757e-05 7.824423326495218503e-03 6.959152221679687500e-02 2.981444689794443548e-03 9.999927316871792815e-01 8.719077067590922597e-07
1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.286361822309652894e+02 7.477552951845185814e-02 5.089775721232096123e-02 8.016287124190866337e-03 8.176692326863606308e-02 3.921039072616218021e-03 9.894988869975174239e-01 6.762589007143523893e-04
2.000000000000000111e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.306376348364858586e+02 1.454872486355736627e-01 1.073960264523824010e-01 8.668385942077428893e-03 1.180590192476908273e-01 6.264360414111613991e-03 9.551956230420639571e-01 2.793190499297505767e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.342245662198007494e+02 8.474163301893788969e-01 1.796803077061970844e-01 1.022069399349668714e-02 1.820779244105021066e-01 9.353336413253839424e-03 8.761498603941810792e-01 7.502973050958781920e-03
3.499999999999999778e-01 0.000000000000000000e+00 3.499999999999999778e-01 -1.369950219965196538e+02 9.014008492510177106e-01 2.218407591183980121e-01 1.175367065497765276e-02 2.228857874870300293e-01 1.128891879749123819e-02 6.989190322897077534e-01 1.405002924336400984e-02
3.699999999999999956e-01 0.000000000000000000e+00 3.699999999999999956e-01 -1.385716015370187506e+02 7.333842201128129012e-01 2.367498477300007953e-01 1.217246136468317155e-02 2.375212907791137695e-01 1.180658819148542628e-02 6.349375094853982882e-01 1.391046299162235211e-02
3.900000000000000133e-01 0.000000000000000000e+00 3.900000000000000133e-01 -1.403573936460007303e+02 6.575334463320134937e-01 2.527287006378173828e-01 1.263257282981082065e-02 2.533026138941446570e-01 1.234215475028419169e-02 5.842675801676789904e-01 1.384180331474415063e-02
4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000222e-01 -1.413127435766164410e+02 6.325649275578046904e-01 2.608400781949360980e-01 1.288801664713861740e-02 2.612855235735574988e-01 1.265543821077091437e-02 5.624407612016506519e-01 1.371359185873304888e-02
4.099999999999999756e-01 0.000000000000000000e+00 4.099999999999999756e-01 -1.423093223853263680e+02 6.421161897151594911e-01 2.697699268658955707e-01 1.325933355763176877e-02 2.701457540194193152e-01 1.305641858414179762e-02 5.420950690646354486e-01 1.368391648362553281e-02
4.199999999999999845e-01 0.000000000000000000e+00 4.199999999999999845e-01 -1.433386252851175300e+02 6.370695773187625699e-01 2.793897787729898718e-01 1.352323132171148919e-02 2.796956300735473633e-01 1.335223432229308040e-02 5.222286110834364337e-01 1.361216802173753626e-02
4.299999999999999933e-01 0.000000000000000000e+00 4.299999999999999933e-01 -1.443984281340501639e+02 6.667515466098639099e-01 2.881194353103637695e-01 1.394567673884712991e-02 2.883900403976440430e-01 1.378967034185525978e-02 5.050515641480943785e-01 1.369584150196770378e-02
5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 -1.526203742969390191e+02 9.545920166695331943e-01 3.610063791275024414e-01 1.665825180629572702e-02 3.610707124074299945e-01 1.661179821863672385e-02 4.035575895677577796e-01 1.370921609288498419e-02
5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 -1.661466710012149406e+02 1.507489287687140411e+00 4.833566546440124512e-01 1.883477236496962706e-02 4.833599527676900043e-01 1.883158401403722121e-02 2.983973097619354586e-01 1.267828974945308697e-02
6.999999999999999556e-01 0.000000000000000000e+00 6.999999999999999556e-01 -1.809545587107645019e+02 1.925097866967723448e+00 5.613755782445271070e-01 1.704679905325513778e-02 5.613759358723957593e-01 1.704639752602411795e-02 2.402638173424030410e-01 1.156427430497982203e-02
8.000000000000000444e-01 0.000000000000000000e+00 8.000000000000000444e-01 -1.965511808194220009e+02 2.033590458411070223e+00 6.044669548670450476e-01 1.471116462073338189e-02 6.044669548670450476e-01 1.471116462073338189e-02 2.048411927603066007e-01 1.088196001755075033e-02
