# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.279998321951453164e+02 6.708462100197363099e-04 2.834516678269448343e-04 7.420635765506573139e-03 6.950974464416503906e-02 2.974269349825438453e-03 9.999950737157669023e-01 5.904843969828039006e-07
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.283201071124566965e+02 1.452107119258619350e-02 5.121133113368239731e-02 8.124143115479568952e-03 6.970254580179849335e-02 2.973217381161753423e-03 9.947054460731096226e-01 3.384015452166343196e-04
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.293013587213160065e+02 2.471099233723877964e-01 1.073634844913245873e-01 8.581439939960577856e-03 6.984307368596394394e-02 2.931379454622234405e-03 9.769449123182516459e-01 1.461763109313222141e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.311411978510134873e+02 4.952534579145539961e-01 1.965793128874970264e-01 1.217627369264950507e-02 7.002556324005126953e-02 2.908451106335974146e-03 9.252458247422463700e-01 5.009919641642046617e-03
3.099999999999999978e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.313859658771241641e+02 5.351825581224646244e-01 2.228435177707107639e-01 1.425828837386729567e-02 7.013634840647378632e-02 2.911923467913702865e-03 9.047445847329468327e-01 6.574859746420636843e-03
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.315858292329450023e+02 8.149131450988248426e-01 2.672863083633626458e-01 1.791014237364661060e-02 7.004658381144204804e-02 2.894054546509829216e-03 8.652548931724233228e-01 8.840006147331594052e-03
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.319654002021849806e+02 5.527916088641418035e-01 3.047316258011435464e-01 1.963234690264059959e-02 7.010052601496377656e-02 2.891268351665211931e-03 8.375129260095222072e-01 9.835463999014122313e-03
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.323660946282743964e+02 4.231369839621946238e-01 3.537804624724469882e-01 2.096882878742773598e-02 7.020735740661621094e-02 2.903887502062237232e-03 7.984683373157535069e-01 1.026162574981383940e-02
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.328537485959196829e+02 2.490575888543595240e-01 3.979748722058186194e-01 2.146323834563729563e-02 7.021379470825195312e-02 2.886453834814043610e-03 7.650869761364542665e-01 1.041551440688461352e-02
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.352454508160812452e+02 1.043875718502765837e-01 5.348011774151721909e-01 1.991348371130066686e-02 7.016042868296304413e-02 2.884942885163215443e-03 6.684351085540076731e-01 8.378884995552560166e-03
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.359404253689052950e+02 1.237610172318728968e-01 5.616195956161627034e-01 1.941019256824105810e-02 7.023610671361286972e-02 2.882810682412263823e-03 6.504968792027796542e-01 7.995003530678633508e-03
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.374388328926885947e+02 8.215438831085966620e-02 6.068937724919536425e-01 1.820023449124381909e-02 7.019660870234170624e-02 2.882448564093525057e-03 6.237211349751758949e-01 7.309777365579465946e-03
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.443603416340369563e+02 1.631873843557125198e-02 7.318863874505593392e-01 1.399088070332258141e-02 7.014687856038410996e-02 2.871523189140942449e-03 5.610794617608383383e-01 5.635523320257365687e-03
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.543362254316768940e+02 4.340018240350864386e-03 8.180936587854259479e-01 1.013514857236857102e-02 7.040152947107949921e-02 2.883779651104213890e-03 5.291462316636722507e-01 4.704646474910174382e-03
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.651544811732458129e+02 1.504055615429009856e-03 8.681027801644386477e-01 7.601981988079495670e-03 7.027745246887207031e-02 2.864618488672476815e-03 5.156958097280980313e-01 4.321684806414539427e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.764836071026923037e+02 6.187596555963410794e-04 8.998175460604360687e-01 5.877107104248145177e-03 7.032763957977294922e-02 2.875809638969902167e-03 5.091586144648507783e-01 4.139188618553415328e-03
