# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.280000000134249376e+02 3.702285593957018785e-10 7.927417755126953125e-05 7.801157657226553965e-03 6.949547926584878632e-02 2.971542303231760641e-03 1.000000000230027997e+00 1.124019296605425745e-13
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.283205436613674806e+02 1.012671300238415090e-02 5.091154575347900391e-02 8.021955165176564151e-03 8.162967363993325898e-02 3.950537037623134268e-03 9.947752921345495158e-01 3.317002389545223870e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.293335214835229863e+02 2.343007690929708715e-04 1.088168621063232422e-01 8.757908061947242487e-03 1.191279093424479074e-01 6.407558756311319825e-03 9.769616409157986237e-01 1.439197445703168082e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.312084952428632789e+02 7.569134040996360752e-03 1.914841334025065012e-01 1.098411668731892610e-02 1.934413115183512277e-01 1.023074903028802808e-02 9.323356201639263485e-01 4.250010718068676814e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -1.314619917102625664e+02 1.146533543968421623e-02 2.042155663172403879e-01 1.161947377154919948e-02 2.057861884435017719e-01 1.097551594371597855e-02 9.238020216890998615e-01 4.811604360476848599e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.317287282400147603e+02 4.285072298545600233e-02 2.185324827829996652e-01 1.234007800363517288e-02 2.197196880976358957e-01 1.181978269721481803e-02 9.136807665606023754e-01 5.516079325988623369e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -1.320231545364237604e+02 3.658515287174004399e-02 2.349585692087809152e-01 1.329815605094432363e-02 2.358628908793131418e-01 1.287238200163503578e-02 9.018187575622336194e-01 6.361618491011297900e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -1.323474372428134416e+02 7.496717902380400922e-02 2.602416276931762695e-01 1.550421573201769300e-02 2.608863910039265765e-01 1.516821150535779296e-02 8.825614790169888924e-01 7.915039535834051190e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.326770569813803036e+02 6.417880474479070729e-02 2.775635321935017719e-01 1.602750625499835616e-02 2.779951492945352820e-01 1.578771762744048124e-02 8.690728824029454458e-01 8.562553984954722475e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.351217701110603002e+02 5.908511081542611176e-01 4.420680801073709754e-01 2.601875443686630512e-02 4.421048760414123535e-01 2.598622046709071765e-02 7.420360737854525546e-01 1.398526470216694163e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.441925852559353416e+02 6.924346904932338065e-01 7.219979961713154371e-01 1.572400292664571236e-02 7.219979961713154371e-01 1.572400292664571236e-02 5.675340164643178920e-01 6.550949583682522809e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.543353724398454005e+02 1.309372425825514746e-02 8.168207804361978797e-01 1.020793755823332268e-02 8.168207804361978797e-01 1.020793755823332268e-02 5.301194129920567821e-01 4.703941204698663947e-03
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -1.651539222633431905e+02 7.556341690854737406e-03 8.674867550532022742e-01 7.630842901674681628e-03 8.674867550532022742e-01 7.630842901674681628e-03 5.163457517496530258e-01 4.532194864075800300e-03
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -1.764831009355932281e+02 6.177475209862938639e-03 8.979524374008178711e-01 5.991752598319521894e-03 8.979524374008178711e-01 5.991752598319521894e-03 5.096181893051257017e-01 3.988860086308705297e-03
