# hx, hy, hz, mag, mag_var, susceptibility, sus_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.209843397140502930e-02 2.407791568852298437e-03 2.968725968027996487e-03 4.868293746643521523e-04 -1.279996650382200727e+02 3.352913864521042979e-04
4.761904761904761640e-02 0.000000000000000000e+00 4.761904761904761640e-02 7.436144351959228516e-02 2.507181124659389835e-03 3.249029756588583950e-03 5.402535345165638018e-04 -1.281442130621722981e+02 2.489929096823453110e-04
9.523809523809523281e-02 0.000000000000000000e+00 9.523809523809523281e-02 7.473737001419067383e-02 2.520129994161870307e-03 3.371077309534342703e-03 5.391057081962107771e-04 -1.285803794732798906e+02 7.667188430233682359e-04
1.428571428571428492e-01 0.000000000000000000e+00 1.428571428571428492e-01 9.451067447662353516e-02 2.847722023813731816e-03 4.780445904870589402e-03 7.943367357940478478e-04 -1.293201498185265166e+02 1.257405248607240981e-03
1.904761904761904656e-01 0.000000000000000000e+00 1.904761904761904656e-01 1.117987036705017090e-01 2.917046109162918250e-03 6.080865371981047929e-03 8.623412964098761116e-04 -1.303795000464180589e+02 2.809473943838678052e-03
2.380952380952380820e-01 0.000000000000000000e+00 2.380952380952380820e-01 1.398205757141113281e-01 2.730222723905462081e-03 6.707032381882527261e-03 8.825359512767309367e-04 -1.317251705442180310e+02 4.505853341742610541e-03
2.857142857142856984e-01 0.000000000000000000e+00 2.857142857142856984e-01 1.709417700767517090e-01 2.739691042725504386e-03 9.012663605457049698e-03 1.090158012001662177e-03 -1.334297229745304776e+02 6.004766212463090447e-03
3.333333333333333148e-01 0.000000000000000000e+00 3.333333333333333148e-01 2.091857790946960449e-01 1.139170434315272444e-03 1.060923859025919395e-02 5.350237913806162341e-04 -1.358561657366916222e+02 2.681575043088646210e-03
3.809523809523809312e-01 0.000000000000000000e+00 3.809523809523809312e-01 2.428546547889709473e-01 7.789268964354037613e-04 1.197280369916242301e-02 4.259746553320923278e-04 -1.395280019434274834e+02 1.759873902672326332e-03
4.285714285714285476e-01 0.000000000000000000e+00 4.285714285714285476e-01 2.844411134719848633e-01 7.031318296449635833e-04 1.340544025104861703e-02 4.491195620376492166e-04 -1.442441295265472547e+02 1.812421303846741211e-03
4.761904761904761640e-01 0.000000000000000000e+00 4.761904761904761640e-01 3.321353793144226074e-01 7.723057478558748154e-04 1.543317721924707987e-02 5.637879648533196918e-04 -1.496845834506997335e+02 1.958188796241195403e-03
5.238095238095237249e-01 0.000000000000000000e+00 5.238095238095237249e-01 3.865520954132080078e-01 8.063124663835512457e-04 1.701599562369437990e-02 6.863482903077244021e-04 -1.556839564790959969e+02 2.273198739844964518e-03
5.714285714285713969e-01 0.000000000000000000e+00 5.714285714285713969e-01 4.378220438957214355e-01 8.450418712257270213e-04 1.824007336031385068e-02 7.951339899225598907e-04 -1.621051001992672127e+02 2.517532511631353880e-03
6.190476190476190688e-01 0.000000000000000000e+00 6.190476190476190688e-01 4.873096942901611328e-01 8.741682355089861562e-04 1.826569109510955968e-02 8.934669488706157474e-04 -1.688593192888254464e+02 2.919046256193027090e-03
6.666666666666666297e-01 0.000000000000000000e+00 6.666666666666666297e-01 5.314422845840454102e-01 8.133801908628466269e-04 1.763081019758772072e-02 8.938757529127195050e-04 -1.758987389590623707e+02 2.849700749191338457e-03
7.142857142857141906e-01 0.000000000000000000e+00 7.142857142857141906e-01 5.635541677474975586e-01 7.171860641078333818e-04 1.691541148657904614e-02 8.161294541129401415e-04 -1.831178756362024274e+02 2.955192195107710518e-03
7.619047619047618625e-01 0.000000000000000000e+00 7.619047619047618625e-01 5.874945521354675293e-01 6.842497352676395802e-04 1.550514326256901589e-02 8.141772981333946207e-04 -1.905316783750299692e+02 2.914917136597543548e-03
8.095238095238095344e-01 0.000000000000000000e+00 8.095238095238095344e-01 6.026686429977416992e-01 6.632423519328724693e-04 1.453796049644040522e-02 8.001560005156789718e-04 -1.980593168646886966e+02 2.822398156955410742e-03
8.571428571428570953e-01 0.000000000000000000e+00 8.571428571428570953e-01 6.190220117568969727e-01 5.930069117083515895e-04 1.407844609899200350e-02 7.296897622067887324e-04 -2.057513938755137701e+02 2.568827503818408957e-03
9.047619047619046562e-01 0.000000000000000000e+00 9.047619047619046562e-01 6.303769946098327637e-01 5.676786354742439271e-04 1.327292704965188017e-02 7.060158083865266049e-04 -2.134994317689273089e+02 2.541988675451637564e-03
9.523809523809523281e-01 0.000000000000000000e+00 9.523809523809523281e-01 6.386458873748779297e-01 5.291151442871647138e-04 1.259352292385074179e-02 6.678353489895486094e-04 -2.213185944589377812e+02 2.306050490968272575e-03
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.452425718307495117e-01 4.699290646685258034e-04 1.188018145920466395e-02 5.968493954703331210e-04 -2.292136267870791073e+02 2.486434774067420011e-03
