hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -1.651540632552301417e+02 1.851768210561819230e-04 8.253345671799292016e-03 8.666941324869791297e-01 4.923443014555042505e-04 7.706567619202865302e-03 8.666941324869791297e-01 4.923443014555042505e-04 7.706567619202865302e-03 5.162036222735371105e-01 1.720017884531123377e-04 3.982868090048986148e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.543351937273199042e+02 2.596735376907308938e-04 1.434141217899289472e-02 8.180890878041584546e-01 5.147929637383124885e-04 1.010143995062485860e-02 8.180890878041584546e-01 5.147929637383124885e-04 1.010143995062485860e-02 5.299731697790988072e-01 2.085089050814902401e-04 4.731962943656377145e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.443585741769364290e+02 3.792995165847623138e-04 3.167789124866837724e-02 7.330710093180338172e-01 5.583674070478810130e-04 1.400312615401667557e-02 7.330710093180338172e-01 5.583674070478810130e-04 1.400312615401667557e-02 5.619109830021549179e-01 2.866331967518002412e-04 5.714943169604871920e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.359454883290581790e+02 6.023313007950011067e-04 8.644750213420115958e-02 5.589570999145507812e-01 8.105559443292258397e-04 1.976605713480239501e-02 5.589593251546223218e-01 8.104772917126443687e-04 1.976356950237661073e-02 6.550838606150437560e-01 5.363826623185244218e-04 8.656337315557798701e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -1.339629196553671591e+02 6.822484204924215805e-04 1.185004221092948035e-01 4.625677267710367468e-01 8.573451288158913559e-04 2.209972191121146318e-02 4.625895023345947266e-01 8.569915391353468076e-04 2.207957609116798642e-02 7.211141824957245650e-01 6.422865891364318552e-04 1.086598104610909249e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.328880611743781799e+02 5.978985572139602217e-04 1.026775702596931794e-01 3.682817618052164343e-01 7.844526779699003164e-04 2.259866734220217915e-02 3.684566020965576172e-01 7.823591061023877757e-04 2.246985579201539809e-02 7.944027226348160386e-01 6.278350180758339970e-04 1.207596695711895055e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -1.324546102012122901e+02 5.114119506730895395e-04 7.077979811976219116e-02 3.124540646870930805e-01 6.638331281018631678e-04 2.070661671554160921e-02 3.128560384114583148e-01 6.604856403612654678e-04 2.045525848451587927e-02 8.396442604439378066e-01 5.260851650442058703e-04 1.105177373837110122e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -1.320857359473003498e+02 3.771013149867809820e-04 4.341807880919852647e-02 2.670396169026692523e-01 5.655833004320089509e-04 1.740629035783866976e-02 2.677613894144693640e-01 5.606164743924790762e-04 1.702028569219590781e-02 8.759905370830418647e-01 4.371767729365018070e-04 8.829441472275358083e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -1.314822710504168981e+02 2.228632780785332469e-04 1.445563947839095115e-02 2.130510012308756418e-01 3.752644068651013335e-04 1.290858386343845393e-02 2.144672075907389230e-01 3.665302203668202260e-04 1.230312985714792674e-02 9.170180506162963763e-01 2.650228655976963419e-04 5.563773334446926906e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.312198120005159865e+02 1.690930779551229497e-04 8.447819063979554802e-03 1.964228153228759766e-01 3.280774882107104348e-04 1.177502947327487351e-02 1.983156998952229633e-01 3.189067464532971624e-04 1.102783502770737084e-02 9.287218787344528881e-01 2.229965307935118904e-04 4.662707957961857719e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.800000000000000266e-01 -1.307490907823481052e+02 1.042375182324289733e-04 3.130858794116769990e-03 1.724667549133300781e-01 2.674658889827143614e-04 1.054429263217571133e-02 1.753425598144531250e-01 2.537751436378108761e-04 9.544060900225304067e-03 9.442101681985339834e-01 1.623653254275146966e-04 3.553521174695711913e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.293336244951865410e+02 1.580732005250638482e-05 8.138610748462914428e-05 1.090485254923502512e-01 2.003876262266834690e-04 8.763514665184223701e-03 1.193307240804036412e-01 1.710045508918330644e-04 6.415273867686564074e-03 9.768687178992190301e-01 8.301398618766084412e-05 1.440222444175201944e-03
