# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.279999999906286234e+02 3.670435553783419919e-10 -5.745887756347655572e-05 7.816559748429577695e-03 6.959311167399087616e-02 2.973361857483622188e-03 9.999999997572699417e-01 1.074070209154211546e-13
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.283230225218559610e+02 2.181525984714520775e-04 5.115779240926106308e-02 8.040559565390341390e-03 8.185609181722004746e-02 3.957259521990231718e-03 9.947971083306696993e-01 3.237502514418894809e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.293335680283801707e+02 2.224119335923935466e-04 1.087749401728312082e-01 8.781400859218831470e-03 1.191339890162149973e-01 6.420481129906204301e-03 9.769808167810329902e-01 1.442356698437040948e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.312098460561940669e+02 4.707048446821023024e-03 1.921029090881347656e-01 1.105879266750283210e-02 1.940836906433105469e-01 1.029384137389873291e-02 9.318352522761005341e-01 4.284375778594590699e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -1.304924784041822363e+02 6.886747316255407370e+00 2.032743692398071289e-01 1.151010025624543687e-02 2.048331101735432758e-01 1.087396642271995680e-02 8.943301574322390923e-01 1.112667210763166638e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -1.298650325848192892e+02 1.330699296610974969e+01 2.323797543843587055e-01 1.314337374179154472e-02 2.333037853240966797e-01 1.271306774297424093e-02 8.367044998692279023e-01 1.775613358684855619e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.260583513706607448e+02 2.559691223918723324e+01 2.541474699974060059e-01 1.346300947985075783e-02 2.547137141227722168e-01 1.317486982371581308e-02 6.876610904493875021e-01 2.581509191660090463e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.280208550388765900e+02 2.485332943252562998e+01 3.706728021303812293e-01 1.778004588812562292e-02 3.707358241081237793e-01 1.773332085018471463e-02 5.913033645664964588e-01 2.505832170752456817e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.324821254820561762e+02 3.656903395569983672e+01 5.587666630744934082e-01 1.471855807701771823e-02 5.587668220202127722e-01 1.471838044985397317e-02 4.036985849280199656e-01 2.658197501079942807e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.431046042682237953e+02 3.946326627292187794e+01 6.682147979736328125e-01 1.176948751890449785e-02 6.682147979736328125e-01 1.176948751890449785e-02 3.999630713109585400e-01 2.651406686061758694e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -1.583672918444734137e+02 5.923458460139362280e+00 7.177081108093261719e-01 9.472066925582112162e-03 7.177081108093261719e-01 9.472066925582112162e-03 5.599569500917834786e-01 5.607726000403269809e-03
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -1.761638870455058168e+02 2.213026699177310874e+00 8.847811420758564527e-01 6.492901585497730735e-03 8.847811420758564527e-01 6.492901585497730735e-03 5.067119613492737651e-01 6.789745355902926729e-03
