# hx, hy, hz, mag, mag_var, susceptibility, sus_var, energy, energy_var
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.156028747558593958e-03 7.709796638078006978e-04 9.999953515400402670e-01 3.324508637904073828e-06 -2.044390300790908555e+02 2.862688870478170833e-03
2.999999999999999889e-01 0.000000000000000000e+00 1.000000000000000056e-01 -4.643554687500001110e-02 6.604531446881998710e-04 9.978437399864199531e-01 6.133700591782075722e-05 -2.048563596209907018e+02 2.935822905518176325e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.000000000000000111e-01 -9.642501831054689498e-02 6.710368580215333436e-04 9.907022158438117954e-01 1.294094826435534401e-04 -2.063677385306129963e+02 3.570294429420654749e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.563674926757813166e-01 8.129471367827325549e-04 9.755492072342903942e-01 2.542370109133405289e-04 -2.089695217186568357e+02 5.561384882385016562e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.099999999999999978e-01 -1.563263320922852473e-01 8.215651239234119090e-04 9.755620778945723881e-01 2.568645247957795723e-04 -2.093221479304168895e+02 6.466267958810625882e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.200000000000000067e-01 -1.670220565795899337e-01 8.267183025324307969e-04 9.721036326159242513e-01 2.761603822019098359e-04 -2.097000165273278753e+02 6.404328507841868315e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.300000000000000155e-01 -1.730477142333985419e-01 8.079868369443255968e-04 9.700544885985967758e-01 2.796405505277782576e-04 -2.101120264805186366e+02 6.735168297564345270e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.400000000000000244e-01 -1.830259704589844993e-01 8.928945758510685232e-04 9.665014941375478230e-01 3.268457925254084507e-04 -2.105161153484604029e+02 7.510585122788069820e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.499999999999999778e-01 -1.833991622924805720e-01 8.444383785416289048e-04 9.663647472704117725e-01 3.097385824643087674e-04 -2.108911705274239239e+02 8.520513716638205767e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.599999999999999867e-01 -1.939760589599610341e-01 8.595503409920206934e-04 9.623732885503617496e-01 3.334643752466490791e-04 -2.113407394694415018e+02 8.622248613377930804e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.699999999999999956e-01 -1.978111648559571223e-01 9.148942018608908220e-04 9.608707430583292020e-01 3.619525755801261701e-04 -2.118497258277308504e+02 1.030275789069563276e-02
2.999999999999999889e-01 0.000000000000000000e+00 3.800000000000000044e-01 -2.142261123657227539e-01 9.033920239066196714e-04 9.541071727806695879e-01 3.870603224474339853e-04 -2.123111541291780213e+02 9.762326296128841924e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.900000000000000133e-01 -2.156659317016602628e-01 9.183596766462193009e-04 9.534882059032560031e-01 3.961177906022820758e-04 -2.127142481923276023e+02 1.042432344543794444e-02
2.999999999999999889e-01 0.000000000000000000e+00 4.000000000000000222e-01 -2.183358383178712059e-01 8.825814108546343973e-04 9.523294617060326095e-01 3.853983044454341528e-04 -2.131627906837550768e+02 1.138813972989529029e-02
2.999999999999999889e-01 0.000000000000000000e+00 4.500000000000000111e-01 -2.738930892944337336e-01 1.104431895815043575e-03 9.249825756367531238e-01 6.049925277201793471e-04 -2.164209794815935766e+02 1.731303385242442122e-02
2.999999999999999889e-01 0.000000000000000000e+00 5.000000000000000000e-01 -3.270519638061525347e-01 1.284574453838820390e-03 8.930370129705387239e-01 8.402451955664076754e-04 -2.202360660805051964e+02 2.765179157847634864e-02
