# hx, hy, hz, mag, mag_var, susceptibility, sus_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.757142352094130061e-05 1.455348227309421095e-04 1.000000003314469144e+00 9.813077866773594792e-18 -1.963677707711429434e+02 2.873456008325227587e-02
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 3.366551904091583114e-02 1.695810534531513576e-04 9.988666328277064910e-01 1.141806836801145572e-05 -1.956359741805103454e+02 2.249906840967558566e-02
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 7.154535164874245567e-02 2.001023236592392102e-04 9.948812626574583540e-01 2.863278222386159778e-05 -1.972058672528957004e+02 1.887238520220194116e-02
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 1.221564613595488291e-01 2.217222144987037813e-04 9.850777989481136476e-01 5.416960225592898164e-05 -1.988972621305516100e+02 1.603793975572003622e-02
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 1.478229983380964507e-01 2.310830765384565722e-04 9.781483611623353891e-01 6.831878647821277466e-05 -1.994761745357090206e+02 1.699964731231259907e-02
0.000000000000000000e+00 7.299999999999999822e-01 0.000000000000000000e+00 1.619480439009324257e-01 2.434248239906278784e-04 9.737728310766617934e-01 7.884434816442177814e-05 -1.999200300320835026e+02 1.661364155431602554e-02
0.000000000000000000e+00 7.600000000000000089e-01 0.000000000000000000e+00 1.804286872516877582e-01 2.368399768181647397e-04 9.674454888166326150e-01 8.546545221204340120e-05 -2.001911108544967988e+02 1.633673787372614400e-02
0.000000000000000000e+00 7.900000000000000355e-01 0.000000000000000000e+00 1.951754498241662084e-01 2.558641361726652274e-04 9.619065437859343204e-01 9.987679574274311873e-05 -2.006127637291820065e+02 1.571792835910016534e-02
0.000000000000000000e+00 8.199999999999999512e-01 0.000000000000000000e+00 2.228067524785325437e-01 2.625210387947193792e-04 9.503571510499696506e-01 1.169829202222845345e-04 -2.015435477579395354e+02 1.631031720943353081e-02
0.000000000000000000e+00 8.499999999999999778e-01 0.000000000000000000e+00 2.492933142245910005e-01 2.794494174336486017e-04 9.378528434829189742e-01 1.393297428603309141e-04 -2.017372942106829896e+02 1.604703030756286786e-02
0.000000000000000000e+00 8.800000000000000044e-01 0.000000000000000000e+00 2.581373262742306385e-01 2.717473228035664551e-04 9.333651207839908093e-01 1.402962546613856611e-04 -2.032738019185831035e+02 1.481414013544928542e-02
0.000000000000000000e+00 9.100000000000000311e-01 0.000000000000000000e+00 3.006373224477639772e-01 2.645026798319875349e-04 9.096172003514381155e-01 1.590387548898938039e-04 -2.041431684002166094e+02 1.419050333225843272e-02
0.000000000000000000e+00 9.399999999999999467e-01 0.000000000000000000e+00 3.537107359010790431e-01 2.684813748576643250e-04 8.748887153083153567e-01 1.899294893532759495e-04 -2.058476360096174460e+02 1.420585014680754779e-02
0.000000000000000000e+00 9.699999999999999734e-01 0.000000000000000000e+00 3.892231385894832085e-01 2.669011223260261511e-04 8.485053483865490076e-01 2.077681850495828554e-04 -2.080547425006930951e+02 1.400611187881404748e-02
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 4.251258385402928441e-01 2.520595970124885521e-04 8.192680214054093302e-01 2.143140950841251251e-04 -2.106161261095539885e+02 1.353684233119678559e-02
0.000000000000000000e+00 1.030000000000000027e+00 0.000000000000000000e+00 4.988064133847666115e-01 2.426619443419293339e-04 7.511921619662209615e-01 2.420826682443433416e-04 -2.142367487566415605e+02 1.374489421441312149e-02
