# hx, hy, hz, mag, mag_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.319854259490966797e-01 2.438430222482111025e-04 -3.199992360464183960e+01 7.618142631608649878e-05
6.666666666666666574e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.321749687194824219e-01 2.459378209838160865e-04 -3.203526195259254195e+01 1.861764837185669928e-04
1.333333333333333315e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.324954032897949219e-01 2.479827293952057451e-04 -3.214540191343778730e+01 1.016821509152634470e-04
1.999999999999999833e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.332259178161621094e-01 2.475822179058954106e-04 -3.233795147956355009e+01 2.923650863913428610e-04
2.666666666666666630e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.339199542999267578e-01 2.209339344170866012e-04 -3.264254592836776681e+01 3.529864004141915613e-04
3.333333333333333148e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.357455253601074219e-01 2.401285384088216383e-04 -3.314212025811214346e+01 4.703298651682552502e-04
3.999999999999999667e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.373281478881835938e-01 2.104427176784934045e-04 -3.403501306171115459e+01 3.086036471630396421e-04
4.666666666666665630e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.388475894927978516e-01 2.089920913316718743e-04 -3.534098640983246753e+01 2.102907745459985675e-04
5.333333333333333259e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.389205455780029297e-01 2.200832456962031967e-04 -3.689226029617802993e+01 1.069161240309655155e-04
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.393578052520751953e-01 2.149280655109390395e-04 -3.858447896693660795e+01 8.265755369361659595e-05
