# hx, hy, hz, mag, mag_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.937927007675170898e-02 1.041413185359802172e-04 -1.279996189262415385e+02 3.808768837500530542e-04
4.210526315789473589e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.931436061859130859e-02 1.096743613118764891e-04 -1.280563004246029664e+02 2.245857146029705122e-04
8.421052631578947179e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.957638263702392578e-02 1.073767789812445366e-04 -1.282276441894334198e+02 2.188284438372857304e-04
1.263157894736842146e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.959348917007446289e-02 1.101852134465914457e-04 -1.285123032650580797e+02 9.914300130608238656e-04
1.684210526315789436e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.967300176620483398e-02 1.057928205966330226e-04 -1.289200503209053181e+02 1.205454590532919123e-03
2.105263157894736725e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.970608234405517578e-02 1.076892392192532440e-04 -1.294584866198530619e+02 1.300936365002624846e-03
2.526315789473684292e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.007467746734619141e-02 1.089828846215112781e-04 -1.300764309861567085e+02 2.430406486604579520e-03
2.947368421052631304e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.002472877502441406e-02 1.078743539512293465e-04 -1.308251092872521326e+02 2.788203648367250896e-03
3.368421052631578871e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.008832693099975586e-02 1.057455578186985653e-04 -1.321771107448734028e+02 1.568146328883895458e-03
3.789473684210526438e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.015287876129150391e-02 1.047581909409482626e-04 -1.345014373201784679e+02 8.499930609922206649e-04
4.210526315789473450e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.030612230300903320e-02 1.018683075109040912e-04 -1.375197316269265855e+02 5.313595312053820017e-04
4.631578947368421573e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.014089822769165039e-02 1.023998819737415375e-04 -1.410160698073723324e+02 3.883953726668613838e-04
5.052631578947368585e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.014447450637817383e-02 1.050401272404878102e-04 -1.448551964697300605e+02 2.589704790832117096e-04
5.473684210526315042e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.034838199615478516e-02 1.012640320493584452e-04 -1.489487265234160986e+02 1.929509580668639624e-04
5.894736842105262609e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.034808397293090820e-02 1.118015825157294552e-04 -1.532386217032919546e+02 1.729479419906815665e-04
6.315789473684211286e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.032030820846557617e-02 9.961862998399188774e-05 -1.576820027754419584e+02 1.097267425936677634e-04
6.736842105263157743e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.023930549621582031e-02 1.067044794408518064e-04 -1.622484721965543031e+02 8.542903877814804914e-05
7.157894736842105310e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.043749094009399414e-02 1.042368562005712264e-04 -1.669150010955079608e+02 9.016229223160022804e-05
7.578947368421052877e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.029724121093750000e-02 1.045221109334215740e-04 -1.716645777226191854e+02 8.237877848903849508e-05
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.039618492126464844e-02 1.039985075189989839e-04 -1.764835132963308979e+02 6.619920993027812489e-05
