# hx, hy, hz, mag, mag_var, susceptibility, sus_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.884264945983886719e-02 2.360620431451192387e-03 1.465615437402448151e+00 9.038183516840091192e-02 -1.279987572145199408e+02 8.728696257988197409e-04
4.761904761904761640e-02 0.000000000000000000e+00 4.761904761904761640e-02 6.911885738372802734e-02 2.287043787100458050e-03 1.972536329214563011e+00 9.488559668168614070e-02 -1.281445441473432254e+02 2.104230341550521600e-04
9.523809523809523281e-02 0.000000000000000000e+00 9.523809523809523281e-02 7.822453975677490234e-02 2.755845695127827951e-03 2.988247252467772341e+00 1.511155071665448435e-01 -1.285797785201371823e+02 9.205296933178057361e-04
1.428571428571428492e-01 0.000000000000000000e+00 1.428571428571428492e-01 9.638643264770507812e-02 3.048034346108950340e-03 4.843251510057598352e+00 2.028620974363586349e-01 -1.293124779905665775e+02 1.844730417805047224e-03
1.904761904761904656e-01 0.000000000000000000e+00 1.904761904761904656e-01 1.149169206619262695e-01 2.917121644723637275e-03 7.211747206138172217e+00 2.080409297646309830e-01 -1.303615656533830247e+02 3.025027552210800968e-03
2.380952380952380820e-01 0.000000000000000000e+00 2.380952380952380820e-01 1.441722512245178223e-01 3.012453753803006565e-03 1.141965157570439615e+01 2.529176954052691495e-01 -1.317315718052762179e+02 4.548785806543571147e-03
2.857142857142856984e-01 0.000000000000000000e+00 2.857142857142856984e-01 1.701979637145996094e-01 2.458753169527832898e-03 1.587383218217291869e+01 2.424827900866065866e-01 -1.335339252495229232e+02 5.120933300683498321e-03
3.333333333333333148e-01 0.000000000000000000e+00 3.333333333333333148e-01 2.050438523292541504e-01 9.789006915253643110e-04 2.271930751176614649e+01 1.095004377429736886e-01 -1.358496895276046814e+02 3.271113410898853109e-03
3.809523809523809312e-01 0.000000000000000000e+00 3.809523809523809312e-01 2.436530590057373047e-01 7.593701634924510113e-04 3.188930712782895682e+01 1.007564413702659867e-01 -1.395269560628231886e+02 1.808260590396609758e-03
4.285714285714285476e-01 0.000000000000000000e+00 4.285714285714285476e-01 2.858245968818664551e-01 7.703600968974707230e-04 4.356098164670356709e+01 1.185297180502705855e-01 -1.442411826834623412e+02 1.831549183260459566e-03
4.761904761904761640e-01 0.000000000000000000e+00 4.761904761904761640e-01 3.309785723686218262e-01 7.182529454936269209e-04 5.800713042076268522e+01 1.269947347838270846e-01 -1.496819215127629832e+02 1.955850329814474639e-03
5.238095238095237249e-01 0.000000000000000000e+00 5.238095238095237249e-01 3.802379369735717773e-01 8.577892743397837151e-04 7.620086457377874467e+01 1.732556413854101640e-01 -1.556709239450064501e+02 2.258081118623939988e-03
5.714285714285713969e-01 0.000000000000000000e+00 5.714285714285713969e-01 4.378323554992675781e-01 8.195205414223115121e-04 1.004337824797112546e+02 1.903024172252688051e-01 -1.621010428239368366e+02 2.503705802858906693e-03
6.190476190476190688e-01 0.000000000000000000e+00 6.190476190476190688e-01 4.923626184463500977e-01 8.478397467397758881e-04 1.264605510420788050e+02 2.190461469961875740e-01 -1.688893974932141191e+02 2.750807086811969584e-03
6.666666666666666297e-01 0.000000000000000000e+00 6.666666666666666297e-01 5.317841172218322754e-01 8.315974974349681081e-04 1.470645448292993933e+02 2.300131796596898426e-01 -1.758957542257541888e+02 2.864029718010070377e-03
7.142857142857141906e-01 0.000000000000000000e+00 7.142857142857141906e-01 5.656973719596862793e-01 7.271355922808495379e-04 1.659943268527763394e+02 2.111026195547444362e-01 -1.831659595341401143e+02 2.705809992244869160e-03
7.619047619047618625e-01 0.000000000000000000e+00 7.619047619047618625e-01 5.835120081901550293e-01 6.810012183797935041e-04 1.762916293744251846e+02 2.039231352797867824e-01 -1.905352289694203307e+02 2.798090837917975061e-03
8.095238095238095344e-01 0.000000000000000000e+00 8.095238095238095344e-01 6.061659455299377441e-01 6.034635835097187798e-04 1.899721702669208412e+02 1.870889291358003581e-01 -1.980813769390679795e+02 2.855155136923915628e-03
8.571428571428570953e-01 0.000000000000000000e+00 8.571428571428570953e-01 6.195032596588134766e-01 6.059083507072548494e-04 1.982879641775726327e+02 1.918018468047435754e-01 -2.057519172506181633e+02 2.638025780067338420e-03
9.047619047619046562e-01 0.000000000000000000e+00 9.047619047619046562e-01 6.293858885765075684e-01 5.397937082202476384e-04 2.045155010882749878e+02 1.739137361615525346e-01 -2.134989476417991909e+02 2.502897039033585413e-03
9.523809523809523281e-01 0.000000000000000000e+00 9.523809523809523281e-01 6.384397745132446289e-01 5.389949727737614960e-04 2.103081605469542978e+02 1.755475933638668828e-01 -2.213194816922976997e+02 2.470333685834480691e-03
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.446621417999267578e-01 4.974254883522738913e-04 2.142851659283842025e+02 1.630913690363125224e-01 -2.291850747847324214e+02 2.759862356524974553e-03
