# hx, hy, hz, mag, mag_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.174342870712280273e-02 2.450314640709246386e-03 -1.279783966075649175e+02 3.716244438049555888e-03
9.090909090909091161e-02 0.000000000000000000e+00 9.090909090909091161e-02 8.105319738388061523e-02 2.115314121460330592e-03 -1.284379432574265820e+02 2.975138898995212909e-03
1.818181818181818232e-01 0.000000000000000000e+00 1.818181818181818232e-01 1.106584668159484863e-01 1.463797463927124986e-03 -1.296839742458931255e+02 5.327962821860352666e-03
2.727272727272727071e-01 0.000000000000000000e+00 2.727272727272727071e-01 1.544638276100158691e-01 7.942002984408329247e-04 -1.320730428589207293e+02 3.936765920075135060e-03
3.636363636363636465e-01 0.000000000000000000e+00 3.636363636363636465e-01 2.125335335731506348e-01 6.012943545297246353e-04 -1.379048700340977689e+02 1.914873818071882033e-03
4.545454545454545858e-01 0.000000000000000000e+00 4.545454545454545858e-01 2.750442028045654297e-01 5.553528451969545841e-04 -1.470769059764662359e+02 1.752403186606154824e-03
5.454545454545454142e-01 0.000000000000000000e+00 5.454545454545454142e-01 3.425057530403137207e-01 5.648524419502143996e-04 -1.584319569277735127e+02 2.191993586611974427e-03
6.363636363636363535e-01 0.000000000000000000e+00 6.363636363636363535e-01 4.145010709762573242e-01 5.864062338300007546e-04 -1.712084917802642394e+02 2.479413614336590469e-03
7.272727272727272929e-01 0.000000000000000000e+00 7.272727272727272929e-01 4.746793508529663086e-01 5.671818461795225452e-04 -1.849203326553959528e+02 2.808192969361253313e-03
8.181818181818182323e-01 0.000000000000000000e+00 8.181818181818182323e-01 5.341896414756774902e-01 5.676493165975879211e-04 -1.992782124900116401e+02 2.976505441405395691e-03
9.090909090909091717e-01 0.000000000000000000e+00 9.090909090909091717e-01 5.799350738525390625e-01 5.368758935410801285e-04 -2.140684170835262137e+02 2.826590725327564856e-03
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.089138388633728027e-01 4.848125242678868541e-04 -2.291147843027376894e+02 2.790161603484333022e-03
